"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI NORTH","15067033100101","IKIME PRI SCH",225,81,3,138,2,"Musila"
"MWINGI NORTH","15067033100201","MANGOMBO PRI SCH",162,84,1,76,1,"Malombe"
"MWINGI NORTH","15067033100301","KAANGO NUR SCH",100,73,1,23,1,"Malombe"
"MWINGI NORTH","15067033100401","KALW'A PRI SCH",187,119,4,62,0,"Malombe"
"MWINGI NORTH","15067033100501","KWA IKULI NUR SCH",74,19,1,54,0,"Musila"
"MWINGI NORTH","15067033100601","MWANGENI PRIMARY SCHOOL",51,15,1,35,0,"Musila"
"MWINGI NORTH","15067033100701","NDUNGUNI PRI SCH",123,40,1,79,2,"Musila"
"MWINGI NORTH","15067033100901","KAMUSILIU PRI SCH",303,185,13,104,0,"Malombe"
"MWINGI NORTH","15067033101001","MUTALA SPG CENTER",171,61,5,103,1,"Musila"
"MWINGI NORTH","15067033101101","NGENGI NURSERY SCHOOL",67,43,2,21,1,"Malombe"
"MWINGI NORTH","15067033101201","KASILUNI NUR SCH",249,95,1,151,0,"Musila"
"MWINGI NORTH","15067033101301","KAVAANI PRI SCH",253,108,2,138,1,"Musila"
"MWINGI NORTH","15067033101401","MURINGANI NUR SCH",129,69,0,59,1,"Malombe"
"MWINGI NORTH","15067033101501","MUTAIRU PRI SCH",169,51,1,115,2,"Musila"
"MWINGI NORTH","15067033101601","MANGUU PRI SCH",197,58,3,135,1,"Musila"
"MWINGI NORTH","15067033101701","NGOMENI PRI SCH",207,77,5,124,1,"Musila"
"MWINGI NORTH","15067033101702","NGOMENI PRI SCH",196,69,2,120,3,"Musila"
"MWINGI NORTH","15067033101801","KAMAVUI PRI SCH",138,47,4,85,2,"Musila"
"MWINGI NORTH","15067033101901","KATUMBINI NUR SCH",119,35,1,81,1,"Musila"
"MWINGI NORTH","15067033102001","KIMELA PRI SCH",362,103,7,252,0,"Musila"
"MWINGI NORTH","15067033102101","NZAINI PRI SCH",238,87,6,141,1,"Musila"
"MWINGI NORTH","15067033102201","KAKUNGUU TRADING CTR",69,21,1,46,1,"Musila"
"MWINGI NORTH","15067033102301","MALAWA PRI SCH",152,56,6,90,0,"Musila"
"MWINGI NORTH","15067033102401","MANDONGOI NUR SCH",242,44,5,189,1,"Musila"
"MWINGI NORTH","15067033102501","MITAMISYI NUR SCH",301,157,7,136,0,"Malombe"
"MWINGI NORTH","15067033102601","ILALU PRI SCH",328,72,11,241,1,"Musila"
"MWINGI NORTH","15067033102701","KATHAALANI PRI SCH",247,55,18,173,1,"Musila"
"MWINGI NORTH","15067033102801","MATURUMBE NUR SCH",62,9,0,52,0,"Musila"
"MWINGI NORTH","15067033121801","INYANZAE PRI SCHOOL",69,22,0,47,0,"Musila"
"MWINGI NORTH","15067033121901","IKAAYUNI PRI SCHOOL",135,40,1,86,4,"Musila"
"MWINGI NORTH","15067033122001","MALATANI PRI SCHOOL",67,15,2,48,1,"Musila"
"MWINGI NORTH","15067033122101","MUTULYA SHOPPING CENTRE",77,31,3,42,1,"Musila"
"MWINGI NORTH","15067033200801","KAIRUNGU NUR SCH",103,34,7,58,1,"Musila"
"MWINGI NORTH","15067033202901","GAI PRI SCH",225,112,6,104,1,"Malombe"
"MWINGI NORTH","15067033202902","GAI PRI SCH",223,96,3,119,4,"Musila"
"MWINGI NORTH","15067033203001","KATAKANI PRI SCH",182,69,6,102,2,"Musila"
"MWINGI NORTH","15067033203101","KYUSO GIRLS",68,49,0,18,1,"Malombe"
"MWINGI NORTH","15067033203201","KYUSO MARKET",296,141,17,136,1,"Malombe"
"MWINGI NORTH","15067033203202","KYUSO MARKET",308,148,10,144,0,"Malombe"
"MWINGI NORTH","15067033203301","KYUSO PRI SCH",360,129,9,214,4,"Musila"
"MWINGI NORTH","15067033203401","MARISI PRI SCH",171,69,2,100,0,"Musila"
"MWINGI NORTH","15067033203501","MATOONI PRI SCH",151,77,4,67,2,"Malombe"
"MWINGI NORTH","15067033203601","NGENGI PRI SCHOOL",82,35,2,43,2,"Musila"
"MWINGI NORTH","15067033203701","NGOMOLA PRI SCHOOL",62,29,2,29,2,"Malombe"
"MWINGI NORTH","15067033203801","NZAALANI PRI SCH",158,74,3,81,0,"Musila"
"MWINGI NORTH","15067033203901","ITIVA-NZOU PRI SCH",259,120,0,136,0,"Musila"
"MWINGI NORTH","15067033203902","ITIVA-NZOU PRI SCH",248,118,3,125,1,"Musila"
"MWINGI NORTH","15067033204001","KASARANI (KISEUNI PRI SCH)",61,24,0,37,0,"Musila"
"MWINGI NORTH","15067033204101","KWANGURU PRI SCH",169,49,2,116,0,"Musila"
"MWINGI NORTH","15067033204201","TII PRI SCH",127,42,0,83,1,"Musila"
"MWINGI NORTH","15067033204301","TULANDULI PRI SCH",204,109,6,84,3,"Malombe"
"MWINGI NORTH","15067033204401","IVONYA-NGYA PRI SCH",284,136,1,144,2,"Musila"
"MWINGI NORTH","15067033204501","KALAMBANI PRI SCH",244,112,5,123,2,"Musila"
"MWINGI NORTH","15067033204601","KILANGA NUR SCH",60,21,1,37,1,"Musila"
"MWINGI NORTH","15067033204701","MUGUUSI PRI SCH",108,44,2,62,0,"Musila"
"MWINGI NORTH","15067033204801","KAMUWONGO MARKET.",261,148,8,101,3,"Malombe"
"MWINGI NORTH","15067033204802","KAMUWONGO MARKET.",240,145,2,92,1,"Malombe"
"MWINGI NORTH","15067033204901","KATHUMBINI MARKET",127,70,3,54,0,"Malombe"
"MWINGI NORTH","15067033205001","KYANDOO PRIMARY SCHOOL.",190,120,4,66,0,"Malombe"
"MWINGI NORTH","15067033205101","NGAANI NUR SCH",139,78,2,58,0,"Malombe"
"MWINGI NORTH","15067033205201","KAKUNIKE PRI SCH",233,95,2,136,0,"Musila"
"MWINGI NORTH","15067033205301","KAMUW'ONGO PRI SCH",144,73,4,65,2,"Malombe"
"MWINGI NORTH","15067033205401","MBAUNI PRI SCH",121,42,4,72,3,"Musila"
"MWINGI NORTH","15067033205501","KORA NURSERY",216,58,2,154,2,"Musila"
"MWINGI NORTH","15067033205601","KWA VERE PRI SCH",91,35,1,53,3,"Musila"
"MWINGI NORTH","15067033205701","MANZUVA PRI SCH",154,97,2,50,1,"Malombe"
"MWINGI NORTH","15067033205801","MIVUKONI PRI SCH",286,87,4,191,0,"Musila"
"MWINGI NORTH","15067033205901","NGOMANO PRI SCH",72,18,3,49,0,"Musila"
"MWINGI NORTH","15067033206001","KALAA PRI SCH",112,50,2,58,0,"Musila"
"MWINGI NORTH","15067033206101","KALOLE PRI SCH",174,43,3,124,0,"Musila"
"MWINGI NORTH","15067033206201","KAVURUKO NUR SCH",140,49,2,85,1,"Musila"
"MWINGI NORTH","15067033206301","MALATANI NUR SCH",117,31,1,84,1,"Musila"
"MWINGI NORTH","15067033206401","MIKWA PRI SCH",273,108,6,155,1,"Musila"
"MWINGI NORTH","15067033206501","NGUNGANI PRI SCHOOL",91,36,1,52,1,"Musila"
