"constituency_code","constituency_name","polling_station_code","polling_station_name","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","votes_cast","rejected_votes","valid_votes","mueke_share","malombe_share","musila_share","ngilu_share","rejection_rate","mueke_vs_malombe","mueke_vs_musila","winner","cluster"
"067","MWINGI NORTH","15067033100101","IKIME PRI SCH",81,3,138,2,225,1,224,1.33928571428571,36.1607142857143,61.6071428571429,0.892857142857143,0.444444444444444,-78,-135,"Musila","2"
"067","MWINGI NORTH","15067033100201","MANGOMBO PRI SCH",84,1,76,1,162,0,162,0.617283950617284,51.8518518518518,46.9135802469136,0.617283950617284,0,-83,-75,"Malombe","3"
"067","MWINGI NORTH","15067033100301","KAANGO NUR SCH",73,1,23,1,100,2,98,1.02040816326531,74.4897959183673,23.469387755102,1.02040816326531,2,-72,-22,"Malombe","3"
"067","MWINGI NORTH","15067033100401","KALW'A PRI SCH",119,4,62,0,187,2,185,2.16216216216216,64.3243243243243,33.5135135135135,0,1.06951871657754,-115,-58,"Malombe","3"
"067","MWINGI NORTH","15067033100501","KWA IKULI NUR SCH",19,1,54,0,74,0,74,1.35135135135135,25.6756756756757,72.972972972973,0,0,-18,-53,"Musila","3"
"067","MWINGI NORTH","15067033100601","MWANGENI PRIMARY SCHOOL",15,1,35,0,51,0,51,1.96078431372549,29.4117647058824,68.6274509803922,0,0,-14,-34,"Musila","3"
"067","MWINGI NORTH","15067033100701","NDUNGUNI PRI SCH",40,1,79,2,123,1,122,0.819672131147541,32.7868852459016,64.7540983606557,1.63934426229508,0.813008130081301,-39,-78,"Musila","3"
"067","MWINGI NORTH","15067033100901","KAMUSILIU PRI SCH",185,13,104,0,303,1,302,4.3046357615894,61.2582781456954,34.4370860927152,0,0.33003300330033,-172,-91,"Malombe","2"
"067","MWINGI NORTH","15067033101001","MUTALA SPG CENTER",61,5,103,1,171,1,170,2.94117647058824,35.8823529411765,60.5882352941176,0.588235294117647,0.584795321637427,-56,-98,"Musila","3"
"067","MWINGI NORTH","15067033101101","NGENGI NURSERY SCHOOL",43,2,21,1,67,0,67,2.98507462686567,64.1791044776119,31.3432835820896,1.49253731343284,0,-41,-19,"Malombe","3"
"067","MWINGI NORTH","15067033101201","KASILUNI NUR SCH",95,1,151,0,249,2,247,0.404858299595142,38.4615384615385,61.1336032388664,0,0.803212851405622,-94,-150,"Musila","2"
"067","MWINGI NORTH","15067033101301","KAVAANI PRI SCH",108,2,138,1,253,4,249,0.803212851405622,43.3734939759036,55.421686746988,0.401606425702811,1.58102766798419,-106,-136,"Musila","2"
"067","MWINGI NORTH","15067033101401","MURINGANI NUR SCH",69,0,59,1,129,0,129,0,53.4883720930233,45.7364341085271,0.775193798449612,0,-69,-59,"Malombe","3"
"067","MWINGI NORTH","15067033101501","MUTAIRU PRI SCH",51,1,115,2,169,0,169,0.591715976331361,30.1775147928994,68.0473372781065,1.18343195266272,0,-50,-114,"Musila","3"
"067","MWINGI NORTH","15067033101601","MANGUU PRI SCH",58,3,135,1,197,0,197,1.52284263959391,29.4416243654822,68.5279187817259,0.50761421319797,0,-55,-132,"Musila","3"
